condition,step,hypothesis,expected_action,excess_cm,base,belief,walked_cm
s00_off,61,d(item_4),move_to(?target=shelf_3),718.9,3e-05,0.001,360.0
s00_off,61,d(item_6),move_to(?target=shelf_3),718.9,0.021237,0.001,360.0
s00_off,62,d(item_2),move_to(?target=shelf_3),758.9,1e-06,0.001,380.0
s00_off,62,d(item_3),move_to(?target=kitting_table_0),0.0,0.099879,0.995,400.0
s00_off,62,d(item_4),move_to(?target=shelf_3),758.9,3e-05,0.001,380.0
s00_off,62,d(item_6),move_to(?target=shelf_3),758.9,0.021239,0.001,380.0
s00_off,63,d(item_2),move_to(?target=shelf_3),798.9,1e-06,0.001,400.0
s00_off,63,d(item_3),move_to(?target=kitting_table_0),0.0,0.099886,0.995,420.0
s00_off,63,d(item_4),move_to(?target=shelf_3),798.9,3e-05,0.001,400.0
s00_off,63,d(item_6),move_to(?target=shelf_3),798.9,0.021241,0.001,400.0
s00_off,64,d(item_2),move_to(?target=shelf_3),838.9,1e-06,0.001,420.0
s00_off,64,d(item_3),move_to(?target=kitting_table_0),0.0,0.09989,0.995,440.0
s00_off,64,d(item_4),move_to(?target=shelf_3),838.9,3e-05,0.001,420.0
s00_off,64,d(item_6),move_to(?target=shelf_3),838.9,0.021242,0.001,420.0
s00_off,65,d(item_2),move_to(?target=shelf_3),878.9,1e-06,0.001,440.0
s00_off,65,d(item_3),move_to(?target=kitting_table_0),0.0,0.099894,0.995,460.0
s00_off,65,d(item_4),move_to(?target=shelf_3),878.9,3e-05,0.001,440.0
s00_off,65,d(item_6),move_to(?target=shelf_3),878.9,0.021243,0.001,440.0
s00_off,66,d(item_2),move_to(?target=shelf_3),918.9,1e-06,0.001,460.0
s00_off,66,d(item_3),move_to(?target=kitting_table_0),0.0,0.099896,0.995,480.0
s00_off,66,d(item_4),move_to(?target=shelf_3),918.9,3e-05,0.001,460.0
s00_off,66,d(item_6),move_to(?target=shelf_3),918.9,0.021243,0.001,460.0
s00_off,67,d(item_2),move_to(?target=shelf_3),958.9,1e-06,0.001,480.0
s00_off,67,d(item_3),move_to(?target=kitting_table_0),0.0,0.099897,0.995,500.0
s00_off,67,d(item_4),move_to(?target=shelf_3),958.9,3e-05,0.001,480.0
s00_off,67,d(item_6),move_to(?target=shelf_3),958.9,0.021243,0.001,480.0
s00_off,68,d(item_2),move_to(?target=shelf_3),998.9,1e-06,0.001,500.0
s00_off,68,d(item_3),move_to(?target=kitting_table_0),0.0,0.099898,0.995,520.0
s00_off,68,d(item_4),move_to(?target=shelf_3),998.9,3e-05,0.001,500.0
s00_off,68,d(item_6),move_to(?target=shelf_3),998.9,0.021243,0.001,500.0
s00_off,69,d(item_2),move_to(?target=shelf_3),1038.9,1e-06,0.001,520.0
s00_off,69,d(item_3),move_to(?target=kitting_table_0),0.0,0.099899,0.995,540.0
s00_off,69,d(item_4),move_to(?target=shelf_3),1038.9,3e-05,0.001,520.0
s00_off,69,d(item_6),move_to(?target=shelf_3),1038.9,0.021244,0.001,520.0
s00_off,70,d(item_2),move_to(?target=shelf_3),1078.9,1e-06,0.001,540.0
s00_off,70,d(item_3),move_to(?target=kitting_table_0),0.0,0.099899,0.995,560.0
s00_off,70,d(item_4),move_to(?target=shelf_3),1078.9,3e-05,0.001,540.0
s00_off,70,d(item_6),move_to(?target=shelf_3),1078.9,0.021244,0.001,540.0
s00_off,71,d(item_2),move_to(?target=shelf_3),1118.9,1e-06,0.001,560.0
s00_off,71,d(item_3),move_to(?target=kitting_table_0),0.0,0.0999,0.995,580.0
s00_off,71,d(item_4),move_to(?target=shelf_3),1118.9,3e-05,0.001,560.0
s00_off,71,d(item_6),move_to(?target=shelf_3),1118.9,0.021244,0.001,560.0
s00_off,72,d(item_2),move_to(?target=shelf_3),1158.9,1e-06,0.001,580.0
s00_off,72,d(item_3),move_to(?target=kitting_table_0),0.0,0.0999,0.995,600.0
s00_off,72,d(item_4),move_to(?target=shelf_3),1158.9,3e-05,0.001,580.0
