ticks: base 379 new 379  eps=0.0005
  +[meta] step=62 trigger=theta_crossed winner=deliver_item{'?item': 'item_4', '?kitting_table': 'kitting_table_0'} queue=["deliver_item{'?item': 'item_7', '?kitting_table': 'kitting_table_0'}", "deliver_item{'?item': 'item_5', '?kitting_table': 'kitting_table_0'}"]
  +[meta-proj] confidence=0.928 theta=0.750 projection=built
  +[meta-cand] deliver_item(?item=item_4,?kitting_table=kitting_table_0) cost=47 feasible=True conflicts=351 min_dist=562.6915416813517
  +[meta-cand] deliver_item(?item=item_7,?kitting_table=kitting_table_0) cost=67 feasible=True conflicts=356 min_dist=946.3994804923683
  +[meta-cand] deliver_item(?item=item_5,?kitting_table=kitting_table_0) cost=97 feasible=True conflicts=354 min_dist=1089.2857660215768
  -[meta-proj] confidence=0.814 theta=0.750 projection=built
  -[meta-cand] deliver_item(?item=item_4,?kitting_table=kitting_table_0) cost=3 feasible=True conflicts=55 min_dist=506.06097252839027
  -[meta-cand] deliver_item(?item=item_7,?kitting_table=kitting_table_0) cost=111 feasible=True conflicts=258 min_dist=506.06097252839027
  -[meta-cand] deliver_item(?item=item_5,?kitting_table=kitting_table_0) cost=141 feasible=True conflicts=258 min_dist=506.06097252839027
  -[meta] step=142 trigger=theta_crossed winner=deliver_item{'?item': 'item_4', '?kitting_table': 'kitting_table_0'} queue=["deliver_item{'?item': 'item_7', '?kitting_table': 'kitting_table_0'}", "deliver_item{'?item': 'item_5', '?kitting_table': 'kitting_table_0'}"]
  -[meta-proj] confidence=0.814 theta=0.750 projection=built
  -[meta-cand] deliver_item(?item=item_7,?kitting_table=kitting_table_0) cost=97 feasible=True conflicts=159 min_dist=611.6249570888627
  -[meta-cand] deliver_item(?item=item_5,?kitting_table=kitting_table_0) cost=132 feasible=True conflicts=159 min_dist=611.6249570888627
  +[meta-proj] confidence=0.563 theta=0.750 projection=none(below_theta)
  +[meta-cand] deliver_item(?item=item_7,?kitting_table=kitting_table_0) cost=97 feasible=True conflicts=0 min_dist=None
  +[meta-cand] deliver_item(?item=item_5,?kitting_table=kitting_table_0) cost=132 feasible=True conflicts=0 min_dist=None
  -[meta-proj] confidence=0.633 theta=0.750 projection=none(below_theta)
  +[meta-proj] confidence=0.591 theta=0.750 projection=none(below_theta)
  -[meta-proj] confidence=0.887 theta=0.750 projection=built
  -[meta-cand] deliver_item(?item=item_7,?kitting_table=kitting_table_0) cost=33 feasible=True conflicts=397 min_dist=757.1193691922801
  -[meta-cand] deliver_item(?item=item_5,?kitting_table=kitting_table_0) cost=127 feasible=True conflicts=399 min_dist=757.1193691922801
  -[meta] step=210 trigger=theta_crossed winner=deliver_item{'?item': 'item_7', '?kitting_table': 'kitting_table_0'} queue=["deliver_item{'?item': 'item_5', '?kitting_table': 'kitting_table_0'}"]
  -[meta-proj] confidence=0.815 theta=0.750 projection=built
  -[meta-cand] deliver_item(?item=item_5,?kitting_table=kitting_table_0) cost=132 feasible=True conflicts=580 min_dist=538.9668344328659
  +[meta-proj] confidence=0.646 theta=0.750 projection=none(below_theta)
  +[meta-cand] deliver_item(?item=item_5,?kitting_table=kitting_table_0) cost=132 feasible=True conflicts=0 min_dist=None
  -[meta-proj] confidence=0.949 theta=0.750 projection=built
  -[meta-cand] deliver_item(?item=item_5,?kitting_table=kitting_table_0) cost=65 feasible=True conflicts=662 min_dist=541.9822767799259
  +[meta-proj] confidence=0.667 theta=0.750 projection=none(below_theta)
  +[meta-cand] deliver_item(?item=item_5,?kitting_table=kitting_table_0) cost=65 feasible=True conflicts=0 min_dist=None
  -[meta-proj] confidence=0.903 theta=0.750 projection=built
  +[meta-proj] confidence=0.751 theta=0.750 projection=built
  +[meta-cand] deliver_item(?item=item_5,?kitting_table=kitting_table_0) cost=51 feasible=True conflicts=129 min_dist=882.2022530315631
  +[meta] step=325 trigger=theta_crossed winner=deliver_item{'?item': 'item_5', '?kitting_table': 'kitting_table_0'} queue=[]
  +[meta-proj] confidence=0.645 theta=0.750 projection=none(below_theta)
